language,glottocode,family,area,latitude,longitude,98A Alignment of Case Marking of Full Noun Phrases,99A Alignment of Case Marking of Pronouns,52A Comitatives and Instrumentals,63A Noun Phrase Conjunction,64A Nominal and Verbal Conjunction,37A Definite Articles,38A Indefinite Articles,101A Expression of Pronominal Subjects,46A Indefinite Pronouns,43A Third Person Pronouns and Demonstratives,41A Distance Contrasts in Demonstratives,42A Pronominal and Adnominal Demonstratives,47A Intensifiers and Reflexive Pronouns,44A Gender Distinctions in Independent Personal Pronouns,32A Systems of Gender Assignment,32A Systems of Gender Assignment,112A Negative Morphemes,33A Coding of Nominal Plurality,53A Ordinal Numerals,54A Distributive Numerals,87A Order of Adjective and Noun,85A Order of Adposition and Noun Phrase,91A Order of Degree Word and Adjective,88A Order of Demonstrative and Noun,86A Order of Genitive and Noun,143A Order of Negative Morpheme and Verb,89A Order of Numeral and Noun,"84A Order of Object, Oblique, and Verb",90A Order of Relative Clause and Noun,107A Passive Constructions,106A Reciprocal Constructions,73A The Optative,71A The Prohibitive,70A The Morphological Imperative,48A Person Marking on Adpositions,93A Position of Interrogative Phrases in Content Questions,92A Position of Polar Question Particles,59A Possessive Classification,57A Position of Pronominal Possessive Affixes,24A Locus of Marking in Possessive Noun Phrases,27A Reduplication,67A The Future Tense,66A The Past Tense,65A Perfective/Imperfective Aspect,102A Verbal Person Marking,"81A Order of Subject, Object and Verb"
Rapanui,rapa1244,Malayo-Polynesian,world,-27.11666667,-109.3666667,Neutral,Neutral,Differentiation,,,Definite word distinct from demonstrative,Indefinite word same as 'one',Optional pronouns in subject position,,Related to remote demonstratives,Three-way contrast,Identical,Identical,No gender distinctions,No gender,None,"Negative word, unclear if verb or particle",Plural word,"First, two-th, three-th",,Noun-Adjective,Prepositions,,Noun-Demonstrative,Noun-Genitive,OptDoubleNeg,Numeral-Noun,,Noun-Relative clause,Absent,Identical to reflexive,Inflectional optative absent,Normal imperative + normal negative,No second-person imperatives,No person marking,,Initial,Two classes,,Dependent marking,Full reduplication only,No inflectional future,"Present, no remoteness distinctions",No grammatical marking,No person marking,VSO
Russian,russ1263,Balto-Slavic,world,56,38,Nominative - accusative (standard),Nominative - accusative (standard),Mixed,And different from 'with',Identity,No definite or indefinite article,No definite or indefinite article,Obligatory pronouns in subject position,Interrogative-based,,Two-way contrast,Identical,Differentiated,3rd person singular only,Semantic and formal,Three,Negative particle,Plural suffix,"First, second, three-th",Marked by preceding word,Adjective-Noun,Prepositions,Degree word-Adjective,Demonstrative-Noun,Noun-Genitive,NegV,Numeral-Noun,,Noun-Relative clause,Present,Mixed,Inflectional optative absent,Normal imperative + normal negative,Second singular and second plural,No person marking,Initial interrogative phrase,Second position,No possessive classification,No possessive affixes,Dependent marking,No productive reduplication,No inflectional future,"Present, no remoteness distinctions",Grammatical marking,Only the A argument,SVO
San Miguel El Grande Mixtec,sanm1295,Mixtecan,world,17.05,-97.58333333,Neutral,Neutral,,,Identity,No definite or indefinite article,No definite or indefinite article,Mixed,,Unrelated,Two-way contrast,,Identical,No gender distinctions,Semantic,Five or more,Negative particle,Plural word,None,,Noun-Adjective,Prepositions,No dominant order,Noun-Demonstrative,Noun-Genitive,NegV,Numeral-Noun,VOX,Noun-Relative clause,Absent,,Inflectional optative absent,Normal imperative + special negative,Second person number-neutral,Pronouns only,Initial interrogative phrase,No question particle,No possessive classification,No possessive affixes,No marking,,Inflectional future exists,No past tense,Grammatical marking,Only the A argument,VSO
Sango,sang1328,Atlantic-Congo,world,5,18,Neutral,Neutral,Identity,And identical to 'with',Identity,Definite word distinct from demonstrative,,Subject affixes on verb,Generic-noun-based,Unrelated,,,,No gender distinctions,No gender,None,Negative particle,Plural prefix,,,Adjective-Noun,Prepositions,Adjective-Degree word,Noun-Demonstrative,Noun-Genitive,VNeg,Noun-Numeral,VOX,Noun-Relative clause,Absent,No reciprocals,,Normal imperative + normal negative,No second-person imperatives,No person marking,Not initial interrogative phrase,Final,No possessive classification,No possessive affixes,Dependent marking,,No inflectional future,No past tense,No grammatical marking,No person marking,SVO
Semelai,seme1247,Southern Mon-Khmer,world,3,103,Tripartite,Tripartite,,,,,,Subject affixes on verb,Mixed,Unrelated,Two-way contrast,Identical,,No gender distinctions,No gender,None,Negative particle,,,No distributive numerals,Noun-Adjective,Prepositions,,Noun-Demonstrative,Noun-Genitive,NegV,Numeral-Noun,VOX,Noun-Relative clause,Present,,Inflectional optative absent,Normal imperative + special negative,No second-person imperatives,No person marking,Initial interrogative phrase,No question particle,,,No marking,Productive full and partial reduplication,No inflectional future,No past tense,No grammatical marking,Only the A argument,No dominant order
South-Eastern Ju,juho1239,Kxa,world,-19,21,Neutral,Neutral,Identity,And different from 'with',Differentiation,Definite word distinct from demonstrative,Indefinite word distinct from 'one',Obligatory pronouns in subject position,,Related by gender markers,Three-way contrast,,Identical,"3rd person only, but also non-singular",Semantic and formal,Five or more,"Negative word, unclear if verb or particle",Plural clitic,,,Noun-Adjective,Postpositions,,Noun-Demonstrative,Genitive-Noun,NegV,Noun-Numeral,,Noun-Relative clause,Absent,,Inflectional optative absent,Normal imperative + special negative,No second-person imperatives,No person marking,Not initial interrogative phrase,Second position,Three to five classes,No possessive affixes,No marking,,No inflectional future,No past tense,Grammatical marking,No person marking,SVO
Southern Yukaghir,sout2750,Yukaghir,world,65.75,150.8333333,Nominative - accusative (standard),Nominative - accusative (standard),Differentiation,And different from 'with',Differentiation,No definite or indefinite article,No definite or indefinite article,Subject affixes on verb,Interrogative-based,Unrelated,Two-way contrast,Different stem,,No gender distinctions,No gender,None,Negative affix,Plural suffix,"First, two-th, three-th",No distributive numerals,Adjective-Noun,Postpositions,,Demonstrative-Noun,Genitive-Noun,[Neg-V],Numeral-Noun,,Relative clause-Noun,Absent,Distinct from reflexive,Inflectional optative absent,Normal imperative + special negative,Second singular and second plural,No person marking,Not initial interrogative phrase,No question particle,Two classes,Possessive suffixes,No marking,No productive reduplication,Inflectional future exists,No past tense,No grammatical marking,Only the A argument,SOV
Spanish,stan1288,Italic-Celtic,world,40,-4,Nominative - accusative (standard),Nominative - accusative (standard),,And different from 'with',Identity,Definite word distinct from demonstrative,Indefinite word same as 'one',Subject affixes on verb,Special,Unrelated,Three-way contrast,Identical,Differentiated,In 3rd person + 1st and/or 2nd person,Semantic and formal,Two,Negative particle,Plural suffix,"First, second, three-th",No distributive numerals,Noun-Adjective,Prepositions,Degree word-Adjective,Demonstrative-Noun,Noun-Genitive,NegV,Numeral-Noun,VOX,Noun-Relative clause,Present,Mixed,Inflectional optative absent,Special imperative + normal negative,Second singular and second plural,No person marking,Initial interrogative phrase,No question particle,No possessive classification,No possessive affixes,Dependent marking,No productive reduplication,Inflectional future exists,"Present, no remoteness distinctions",Grammatical marking,Both the A and P arguments,SVO
Supyire Senoufo,supy1237,Northern Senufo,world,11.5,-5.583333333,Neutral,Neutral,Mixed,,Differentiation,Definite affix,Indefinite word distinct from 'one',Obligatory pronouns in subject position,,Related for all demonstratives,No distance contrast,Identical,Differentiated,"3rd person only, but also non-singular",Semantic and formal,Five or more,Negative particle,Plural suffix,"First, two-th, three-th",Marked by reduplication,Noun-Adjective,Postpositions,,Demonstrative-Noun,Genitive-Noun,OptDoubleNeg,Noun-Numeral,OVX,Correlative,Absent,Identical to reflexive,Inflectional optative absent,Normal imperative + special negative,Second singular,No person marking,Mixed,Final,No possessive classification,No possessive affixes,Head marking,,No inflectional future,"Present, 2-3 remoteness distinctions",Grammatical marking,No person marking,SOV
Swahili,swah1253,Bantoid,world,-6.5,39,Neutral,Neutral,Differentiation,And identical to 'with',,Demonstrative word used as definite article,,Subject affixes on verb,Generic-noun-based,,Two-way contrast,Identical,Differentiated,"3rd person only, but also non-singular",Semantic and formal,Five or more,Negative affix,Plural prefix,"First, second, three-th",Marked by reduplication,Noun-Adjective,Prepositions,,Noun-Demonstrative,Noun-Genitive,[Neg-V],Noun-Numeral,,Noun-Relative clause,Present,Distinct from reflexive,Inflectional optative absent,Special imperative + special negative,Second singular and second plural,No person marking,Not initial interrogative phrase,Initial,No possessive classification,Possessive suffixes,Dependent marking,Productive full and partial reduplication,Inflectional future exists,"Present, no remoteness distinctions",No grammatical marking,Both the A and P arguments,SVO
Tagalog,taga1270,Malayo-Polynesian,world,15,121,Neutral,Neutral,Differentiation,And different from 'with',Identity,,,,Existential construction,Unrelated,Three-way contrast,Identical,Differentiated,No gender distinctions,Semantic,Two,Negative particle,Plural word,"First, two-th, three-th",Marked by mixed or other strategies,No dominant order,,,Mixed,Noun-Genitive,NegV,Numeral-Noun,,Noun-Relative clause,Absent,Distinct from reflexive,Inflectional optative present,Normal imperative + special negative,Second singular and second plural,No adpositions,Initial interrogative phrase,Second position,No possessive classification,,Other,Productive full and partial reduplication,Inflectional future exists,No past tense,Grammatical marking,No person marking,VSO
Thai,thai1261,Tai-Kadai,world,16,101,Neutral,Neutral,Differentiation,And different from 'with',Identity,"No definite, but indefinite article",Indefinite word distinct from 'one',Optional pronouns in subject position,Interrogative-based,Unrelated,,,Identical,No gender distinctions,No gender,None,Negative auxiliary verb,,"First/one-th, two-th, three-th",No distributive numerals,Noun-Adjective,Prepositions,Adjective-Degree word,Noun-Demonstrative,Noun-Genitive,NegV,Noun-Numeral,VOX,Noun-Relative clause,Present,Distinct from reflexive,Inflectional optative absent,Normal imperative + special negative,No second-person imperatives,No person marking,Not initial interrogative phrase,Final,No possessive classification,No possessive affixes,Dependent marking,Productive full and partial reduplication,No inflectional future,No past tense,No grammatical marking,No person marking,SVO
Tiwi,tiwi1244,Tiwi,world,-11.5,131,Neutral,Neutral,,And different from 'with',Both expressed by juxtaposition,No definite or indefinite article,No definite or indefinite article,Subject affixes on verb,Interrogative-based,,Two-way contrast,Identical,Identical,3rd person singular only,Semantic,Two,Negative particle,Plural suffix,None,Marked by suffix,Adjective-Noun,Prepositions,,Demonstrative-Noun,Genitive-Noun,NegV,Numeral-Noun,VOX,Noun-Relative clause,Absent,Distinct from reflexive,Inflectional optative absent,Special imperative + special negative,Second singular and second plural,No person marking,Mixed,Final,Two classes,No possessive affixes,No marking,Productive full and partial reduplication,Inflectional future exists,"Present, no remoteness distinctions",No grammatical marking,Both the A and P arguments,SVO
Turkish,nucl1301,Common Turkic,world,39,35,Nominative - accusative (standard),Nominative - accusative (standard),Identity,And different from 'with',Identity,"No definite, but indefinite article",Indefinite word same as 'one',Subject affixes on verb,Generic-noun-based,Related to remote demonstratives,Two-way contrast,Different inflection,Identical,No gender distinctions,No gender,None,Negative affix,Plural suffix,"First/one-th, two-th, three-th",Marked by suffix,Adjective-Noun,Postpositions,Degree word-Adjective,Demonstrative-Noun,Genitive-Noun,[V-Neg],Numeral-Noun,XOV,Relative clause-Noun,Present,Distinct from reflexive,Inflectional optative absent,Normal imperative + normal negative,Second singular and second plural,No person marking,Not initial interrogative phrase,Final,No possessive classification,Possessive suffixes,Double marking,Productive full and partial reduplication,Inflectional future exists,"Present, no remoteness distinctions",Grammatical marking,Only the A argument,SOV
Vietnamese,viet1252,Eastern Mon-Khmer,world,10.5,106.5,Neutral,Neutral,,And different from 'with',Identity,Definite word distinct from demonstrative,,Optional pronouns in subject position,Interrogative-based,Related to remote demonstratives,Two-way contrast,,Identical,No gender distinctions,No gender,None,"Negative word, unclear if verb or particle",Plural word,Various,No distributive numerals,Noun-Adjective,Prepositions,,Noun-Demonstrative,Noun-Genitive,NegV,Numeral-Noun,VOX,Noun-Relative clause,Present,Distinct from reflexive,Inflectional optative absent,Normal imperative + special negative,No second-person imperatives,No person marking,Not initial interrogative phrase,Final,No possessive classification,No possessive affixes,No marking,Productive full and partial reduplication,No inflectional future,No past tense,No grammatical marking,No person marking,SVO
Warao,wara1303,Warao,world,9.333333333,-61.66666667,Neutral,Nominative - accusative (standard),Differentiation,,Both expressed by juxtaposition,,,,Mixed,Related to non-remote demonstratives,Three-way contrast,Different stem,Identical,No gender distinctions,No gender,None,Negative affix,Plural suffix,"First, two, three",No distributive numerals,Noun-Adjective,Postpositions,Adjective-Degree word,Demonstrative-Noun,Genitive-Noun,[V-Neg],Noun-Numeral,,,Present,Identical to reflexive,Inflectional optative absent,Normal imperative + normal negative,Second singular and second plural,No person marking,Initial interrogative phrase,No question particle,No possessive classification,Possessive prefixes,Other,,No inflectional future,"Present, no remoteness distinctions",No grammatical marking,Only the P argument,
Wari',wari1268,Chapacuran,world,-11.33333333,-65,Neutral,None,,,Identity,No definite or indefinite article,No definite or indefinite article,Subject pronouns in different position,,Unrelated,Three-way contrast,Different stem,Differentiated,"3rd person only, but also non-singular",Semantic,Three,"Negative word, unclear if verb or particle",Plural word,None,No distributive numerals,,Prepositions,No dominant order,Noun-Demonstrative,Noun-Genitive,NegV,Numeral only modifies verb,VOX,Noun-Relative clause,Present,Identical to reflexive,Inflectional optative absent,Normal imperative + special negative,No second-person imperatives,Pronouns and nouns,Initial interrogative phrase,No question particle,Three to five classes,Possessive suffixes,Head marking,Productive full and partial reduplication,No inflectional future,No past tense,No grammatical marking,Both the A and P arguments,VOS
Western Farsi,west2369,Indo-Iranian,world,32,54,Nominative - accusative (standard),Nominative - accusative (standard),Identity,And different from 'with',Identity,"No definite, but indefinite article",,Subject affixes on verb,Generic-noun-based,Related for non-human reference,Two-way contrast,Different inflection,Identical,3rd person singular only,No gender,None,Negative affix,Plural suffix,"First/one-th, two-th, three-th",No distributive numerals,Noun-Adjective,Prepositions,Degree word-Adjective,Demonstrative-Noun,Noun-Genitive,[Neg-V],Numeral-Noun,,Noun-Relative clause,Present,Distinct from reflexive,Inflectional optative absent,Normal imperative + normal negative,Second singular,Pronouns only,Not initial interrogative phrase,Initial,No possessive classification,No possessive affixes,Head marking,Productive full and partial reduplication,No inflectional future,"Present, no remoteness distinctions",Grammatical marking,Both the A and P arguments,SOV
Yagua,yagu1244,Peba-Yagua,world,-3.5,-72,Neutral,Neutral,,,Both expressed by juxtaposition,No definite or indefinite article,No definite or indefinite article,Subject clitics on variable host,Special,Related for non-human reference,Two-way contrast,Identical,,No gender distinctions,,,Negative particle,Plural suffix,,,Noun-Adjective,Postpositions,Degree word-Adjective,Demonstrative-Noun,Genitive-Noun,NegV,Numeral-Noun,,Noun-Relative clause,Absent,Identical to reflexive,Inflectional optative absent,Normal imperative + normal negative,No second-person imperatives,Pronouns and nouns,Initial interrogative phrase,Second position,No possessive classification,Possessive prefixes,Head marking,No productive reduplication,No inflectional future,"Present, 4 or more remoteness distinctions",Grammatical marking,Both the A and P arguments,No dominant order
Yaqui,yaqu1251,Southern Uto-Aztecan,world,27.5,-110.25,Nominative - accusative (standard),Nominative - accusative (standard),Differentiation,And different from 'with',Identity,"No definite, but indefinite article",Indefinite word distinct from 'one',Mixed,Interrogative-based,Unrelated,,,Differentiated,No gender distinctions,No gender,None,Negative particle,Plural suffix,"One-th, two-th, three-th",,Adjective-Noun,Postpositions,Degree word-Adjective,Demonstrative-Noun,Genitive-Noun,NegV,Numeral-Noun,,Noun-Relative clause,Present,Identical to reflexive,Inflectional optative absent,Special imperative + special negative,Second singular and second plural,No person marking,Not initial interrogative phrase,Initial,No possessive classification,No possessive affixes,Double marking,Productive full and partial reduplication,Inflectional future exists,"Present, no remoteness distinctions",Grammatical marking,No person marking,SOV
Yidi<f1>,yidi1250,Yidinyic,world,-17,145.75,Ergative - absolutive,Nominative - accusative (standard),,And different from 'with',Differentiation,No definite or indefinite article,No definite or indefinite article,Optional pronouns in subject position,Interrogative-based,Related for all demonstratives,Three-way contrast,,,No gender distinctions,No gender,None,Negative particle,No plural,,,Noun-Adjective,No adpositions,,Mixed,Genitive-Noun,NegV,Noun-Numeral,OVX,Adjoined,Absent,No reciprocals,Inflectional optative absent,Normal imperative + special negative,Second person number-neutral,No adpositions,Not initial interrogative phrase,No question particle,,No possessive affixes,,Productive full and partial reduplication,,,,No person marking,SOV
Yoruba,yoru1245,Yoruboid,world,8,4.333333333,Neutral,Nominative - accusative (standard),Differentiation,And identical to 'with',Differentiation,No definite or indefinite article,No definite or indefinite article,Optional pronouns in subject position,Generic-noun-based,Unrelated,Two-way contrast,Identical,Differentiated,No gender distinctions,No gender,None,"Negative word, unclear if verb or particle",Plural word,"One-th, two-th, three-th",Marked by reduplication,Noun-Adjective,Prepositions,,Noun-Demonstrative,Noun-Genitive,NegV,Noun-Numeral,,Noun-Relative clause,Absent,Identical to reflexive,Inflectional optative absent,,No second-person imperatives,No person marking,Initial interrogative phrase,No question particle,No possessive classification,No possessive affixes,Head marking,Productive full and partial reduplication,No inflectional future,No past tense,No grammatical marking,No person marking,SVO
Zulu,zulu1248,Bantoid,world,-30,30,Neutral,Neutral,,And identical to 'with',Differentiation,No definite or indefinite article,No definite or indefinite article,Subject affixes on verb,,Related by gender markers,,,Differentiated,"3rd person only, but also non-singular",Semantic and formal,Five or more,Negative affix,Plural prefix,"First, two-th, three-th",,Noun-Adjective,Prepositions,,Mixed,Noun-Genitive,OptDoubleNeg,,,Noun-Relative clause,Present,Distinct from reflexive,Inflectional optative absent,Special imperative + special negative,Second singular and second plural,No person marking,Not initial interrogative phrase,Final,No possessive classification,,Dependent marking,Full reduplication only,Inflectional future exists,"Present, 2-3 remoteness distinctions",Grammatical marking,Both the A and P arguments,SVO
